Twitter,Twitter_Verified,ETH_Address,Debank_Follower_Count,Base_Address,TVF,Net_Worth
mute_acc,True,0x82b97fe157c390fd334c1aaebc767113cafa2154,468,0x821c47473efb0373c48668d64a95e5e906284fc3,1216212,1941
NelsonRodMar,True,0x770569f85346b971114e11e4bb5f7ac776673469,74,0xf47b2b6d2c64cdafde9e31d3937eddd95e44e4a6,438150,3172
lemondogepepper,False,0x7d25887df9c3d85435185fb01df4d7023acaf4aa,444,0xd09f152b3700f106a07edb10a4b6993e676d2c45,1573136,4287
xuxizhen,True,0xe2c1a36f6d39f3d1698078e6579fcabb779b5a32,226,,518568,6846
stevenwow126,True,0xa8293dd8eb52564a35b8357a539146321b934153,634,,1003502,6048
MavzunaIsmmm,True,0xdfc5310c534e5ab0e38b51c7aae441ca700e89fd,709,,2432995,1250
dsjwin,False,0xc4df5f2125151bff3a6aa7328529eae1b9d3cc31,269,0x37679b4e2cb1907380c308ffc2da4bb95c42cef9,1879748,3526
CedricGonnard,True,0x54cc5ed3593c5a54e053df1d09a9d5ab1b0dd626,387,,3561276,2011
ebanat_ebanat1,True,0xd9ba5c0a4162246fa0e7537245ee318591379b02,567,,1327074,3097
Vsevolod_UA,True,0x09a09f83ce9cade41ed340d0fd276c59639d7962,759,,2245616,4863
JenniferBasi10,False,0x3ab7fcd5798713a03887661dc495b5f82092feab,1176,,17755296,22181
evonic21,True,0xbdc4d0fe81a7bf6f569a898267f8c7fc30bd2121,353,0xdcaf3c8aea39f44548f9f58e41b1e6bc0e210dfc,3463876,2367
cheIseaF_C,True,0xd7a8e69ac6a807494e8b6d7af18d2e5268be9ae4,373,0x691d9a8b3271e0dff279128de118f890e748b4df,2024450,19665
mehrdadfara,True,0x83ca6e16db349f9e815509a3d3e99d9e8c758b3b,1096,,2356304,2709
KhachaturAvdal,True,0xa7c4581b3a4cb687199036fbbff2aed933642996,466,,2000795,5601
bitprem_eth,True,0x1487e5f88521c891f514467df190d6678bffa69a,2415,0xa560d789dccdf68e7371f26ea6470bedf7e2f91c,38916351,5548
cryptoroast_,True,0x23156f2d1fe89a14c742df1c3483e333dbbfa259,538,,3094509,1002
MasaShi_095,True,0x66e1cbb8943c62927aa627f55a4f76317c94efde,438,,1793108,3033
sakuraZzZz1113,True,0xb6c8cabc2150083261d541a3011a658a36ca55b9,1419,,3867623,585
Govea_45,True,0x0f1fb0fa184a01f8614bad588231f995c4a77bcb,500,,1502615,2193
AleksejB10,True,0xe578bef3d4dfa226e63da21fda1c00db6977a462,447,,8828645,2890
haden65455555,True,0xec1e47007b6425ea163e1bada3e884d0bb282484,773,,3080853,16481
IkerneUcarGonza,False,0xac714e5088aa4534f1257e2be2110c7e5ac64b02,318,,947498,16837
Leandro_Ritz92,True,0xfa40cbbdc2c392a5f274546afbaf8c74a43cbbd5,137,0x1de4028ec04af49db245cb0c29b38f3323ccce83,5278587,2477
MateMat79207372,True,0xd707ea46c8e5d8ea0e171625d1da770a8fed59f7,193,0x4d5128c849c7a0e096203a6448fb8b41996ddf8c,2012918,92465
DavidNFTWhite1,True,0x89fb44a9571d6fa33c3231158c49756b766459cb,344,,3578102,3551
neeksceek,True,0xb020c70c4b995ecaf9e2bf784a3858275f44bd0e,254,,1170579,4606
haamiidt,True,0xc9c67603d3107ad53d1816d3096b5b36b52cdedc,1341,,3212314,7743
Arun86127390,True,0x3ef9e08855fa9472f256578c18bd82a5ddf1237a,993,,1746587,3468
hopper154164984,True,0x78a1ef45dfff3812c56c5676221b593ee254f1da,4129,,82098569,512
luisfrmtheblck,True,0xb5dc07e23308ec663e743b1196f5a5569e4e0555,244,0x98c05ed60cf4b0417f6c1bf98055de0b40d8d67d,1193536,25800
mahen19782,True,0x35d1ca7a982d65c784361501e0aadb1ab1d4cc1b,436,,2112901,34550
jundeu00,True,0xd51eebba61387d0150b8b5b708cd04bfe5a9c970,243,,56031877,1423
Lindalit_LLT,False,0x2de725818e427319ef0bc49dfa19bc2010ca424d,845,,2220230,4645
MantisCrypto_,True,0x2ba838e42126ac349d01c3d1fac85a36266151a4,146,,3205538,398
Ququruqu_,True,0x8752d3f76883230b7c733b2465ea3d3903b4ef46,562,,995284,15179
Lymetis,False,0xb14cc1a8717e6bb2cf30109f94d210a7e9f07da5,409,,2822835,9120
nim_null,True,0x251cecf9a7dac6946950e9548e29faf53bec8fb3,477,0x2fd24771dec58f66db757663a1b053c823f590d1,1361883,2379
TNSameera,True,0x6b3db19362ee5783f071839f75ed2702a9d32bff,1673,,75701887,106
ETHberkk,False,0x572238a09b9ce7d6acad34647323a0505d4cb6bd,281,,3965636,4614
TannerFahl,False,0x4cc25e0366c564847546f2feda3d7f0d9155b9ac,788,,29019359,2170020
Nurlan41640949,True,0xefc5cc5fd323efcaf41370caaf090156bb49b69d,1276,,70048975,1006
Mingyue1681,False,0xe95ab07a55e8489fe8e81e3281c8b3fd95c7d8af,597,,2641098,21209
oguzkaramert,True,0x965823aff459bbcf564f3e495f3ca245f913a7c0,183,,900133,3574
disaer3811,True,0x158e613e631b640474863f1868c69ee447132d5d,679,,3066863,1071
VictorSudakov,True,0xc1dcb31f189721dd8599502f8c84ee8c125985b8,288,0xb8abdf56002ce6f124e84bc694ea7e024bdc4777,2756629,10849
twinnytwinner,True,0xb754be27d4eab18dfdd4cfe42b538a80170721a7,138,0x3f6ccbb9477a32c5ff77801518a12cb1c3b57546,614296,2766
Ilya84579489,True,0x1cbb8995eff34d2f1c9a4af86d7dcea41e583148,1088,0xd72688aaeec45294f71dab879d51bcf3bae05c5a,20110640,258
ajondls,True,0x9fefb01133f63d81b10bca1ee47be40ef6535443,693,0xaa93fe8accb042708786f77ab190b5384ebaefad,1687876,967
thecryptoranae,True,0x65acc8c5f2d0c17af8f8041f271035974a29125e,590,0x3b0906a5292c6a9855441268f4d4d2f614e02400,1501131,3628
jos555ASAS,True,0x6376e21fef600c53ea6e10cdc473e584c8382521,400,,2187040,2413
Menestrell,True,0xcbf4f0f7d1fecf82350509c740222be0824bb769,619,0x8a6f9c967d5bbdc93daee510e809da2400fd2254,667203,382
criptosea,True,0x2f486cd2711fed55ecc481a5a0ac62001ebfb16c,281,,1230161,8405
A102lex,True,0x0888d793b662e2c7b7bcf1b1596c5a701d07d8bd,748,,12741488,598
a32119112,True,0x0bb43efc1a613658177d8f67ccf9cffd8b25b906,4648,,4608278,278
dujomaton,False,0x2632f1d2bc03f31d869b868b875a091f35247efb,194,0x2b0bb8faaab473e099409ba92e693aaa3ab7144e,858610,12018
dxtyan,True,0xb745a2bac46d68bdecd023c867773627d48fe1a1,472,,2399368,850
V_Nobilis,False,0x882c8e57cf50ea8563182d331a3ecf8c99e953cf,543,,1308614,2951
pokl888,True,0x952c23f8f067a5e7e165ff0e42491f51d87dbc95,1052,0xe1ac07051854970e0ef2fa633f5b15873a1e9c27,4411265,39331
elshankarimi,True,0x98668373c2c3f6666d8f6b0db1a4400359400cea,526,0x9ec737656f8379a231ef27585b5f50416efdc4ae,1636150,194
MN6dj9wrx21HARY,True,0xbe5deba62dba7f69977cda1d7740a07843c437b3,763,0x2586da1eec44cba5e0a44cd946e00589df378b77,3259159,3317
understandHQ,True,0xe15ebb6573496fd6860f7194285375fb94c9a7c2,634,0x0cdfac37b6d4c4a253b7ef11df4cdf96bc9e71b8,2611781,14670
Cygninae,False,0x09d4083ffd20d21acb9118465ad7c52ac8b548f7,14341,,149102114,374753
Avstraliec1,True,0xbeab9bcb7e62e083337d2c5a1807e15ab851c69c,256,,2003084,2510
ps_lusse,True,0xe9017c8de5040968d9752a18d805cd2a983e558c,2530,,80726248,144240
hamidcry,True,0xa7ed40bb516d24cdbb334e92f09e9a8367205a55,822,,1835106,2286
juan96263321,True,0x0e5a32f5dffc906b2b9d568317fdd5408f253dd3,1104,,3943110,5847
darkmoirent1,True,0x2bd56fdfe6f5bcbbd2d4f311c56f402b14e93c5c,335,,4585376,4906
rabinsunar,False,0xed7e736851bc65967a65cf1134300c27f39b7648,323,,4302074,14889
pegah46542323,True,0xa1aaa143add0afc056ad50f115cac2a4128adf21,995,0x773e8b3f75c63f9b57d6fc4c2b8326ac55030a0e,3017305,1188
Maxsveal1,True,0x735aad4b53dab69cfdd69bb3919dac08fb9b8abf,1197,,1499282,1981
axie04017783,True,0x34f9c0b11e67d72ad65c41ff90a6989846f28c22,294,0x9731fd2dc2f01b494dffb74d67aceb36bafa7449,1713908,5353
andrey_domnin,True,0x0196b76ef286567d1c64cee65b084bb4bfefd6c8,762,,3441064,2471
OOdoviichuk,True,0x32707a8329c1da69a7af1cc1824ab90662c877fa,826,,3149706,31561
whodoubts,True,0x66122b56490088cb19bd20f28888c3639deac8f9,1240,0x9bdd6f875818a40a8f2c81c31e14163b8b6792a4,2906302,1056
zachhang202,False,0x98499172868b8a30d5faf9378fa874d076f90bd3,274,0x0393df8fe2487311b580985eded0f15910756004,7802250,2654
nohcha095,True,0x589348438536dd5d52d0c1c4c1b6af751e8da3c5,839,,954596,1365
osa3210,True,0x806b704d7c2a4390a9e2b8078e1f1227da95ee9e,717,0x6cd8a4abf30909e2c926e214932a97757ef957eb,2178091,5161
jialol1,True,0xe53085d26544daf3ba8f66b2d1b108e285cc51f9,371,,850575,6237
a301v,True,0x599f47a34fcd74c056072dd6cc1762bd168f1435,564,,1405766,3556
bavaria1309,True,0x7a0d4971c5ac9c3955431cebfac6e687bc823c83,1007,,3392240,1126
kdhyun908,True,0x66c6ad51ae7f7ae9f887568daa15d5cda1b28169,801,,2041518,11227
zoomiketh,False,0x958914bc3fc61629dcc5c11ce9d2e1dc254f3e57,1601,,5441577,14731
CoinOur_Com,True,0x70144e5b5bbf464cff98d689254dc7c7223e01ab,1282,,23275054,2604804
outcome_dapps,True,0x06d13d1562eb9da28c59e86e9bfc2a87d13afb01,6862,,28923011,3631
kkkashkkki,True,0x97a6b2f935b8f0bd61675a0d1e90afd39651c205,1460,,2591458,5095
Momok_Tao,True,0xcfc852e4dd47d6945698d9f998e6d77afc70825b,181,0xd5af0d15ac1050ea3744897041400320336c358c,3006822,5426
Raiamqn,True,0xe534a6d03ea781994fa62b6574e61db134ed7730,2100,,3890536,976
TonyXoac69,False,0x9c3bacade6bbe81a6238110a28628512abf4ec4a,51,,182993,20999
vchichiginarov1,True,0xc056c9bb2a5e7a112998c14e2170075d7d9968fa,699,0xf39dc5a93ae3ad3c525932c37fc2a06b3d0d8083,31579379,977
psypoci,True,0xf1cef11fe10a3b397d52503283c944293c8ea39b,426,0x2ec57a95fe16948d9eb476225be700e7c6df44e4,3319295,4078
InoyatovMurad,True,0xd1d56e4ec7b6fbba2aa00e62df188b971bf0152b,1003,,2219154,8225
AndreSomavilla,True,0x7df61e147e2518e479f01f356cc7e783e18b5858,651,,3229499,2941
usmfit,True,0x1eb2fadbdf69920ded2d6fa87d6ce9a4193a1522,489,,4171802,1669
VBaldonis31313,True,0x6570f9dc370fb708de62465805a20283eb4ea284,1533,,2407024,234
Like_a_Jimmy,False,0x44ff5c2b020a1316c7964d1484c27ebab066743c,3740,,15727030,4865
hasherok,True,0xc3a7bdea39213569f05fbc08407d5b3ab04c6f25,264,,1110351,4254
matchaxyz,True,0x717e49e0d8ebcc4b04e870011766136c8e1d2109,225,,1436642,246
alloy_0110,True,0x25fa68a4c340202737edbc67fd1a2ec8de872db6,729,0x5cfe1e6393c41277f3abe96c12735cae7f6bf0d9,5182014,1751
still58rus,True,0x5f5f9d7db58af8ee27c8b39cbf807d184045ff63,875,,5588896,4498
Maksprm,True,0x18aa8a4b14258d912fce6b5000b40683dc41075c,335,,7721541,3636
Gorgonzola007,True,0x7649a51388c6b2896eb025fd35752ae55c754572,322,,2243440,921
yp_ab5,True,0x0318d38dcb790e4014935d708874833560bb0d40,581,0x954a525de6d7736996437adf92c762c08f2574b7,1992993,1142
fckngnegir,True,0x1d58328205429d39ce21a13dcd3feb73180c9b20,364,,5243153,1381
KVXPULSXH,True,0xa05d6b1727d5db1a160b88b985d717985d4cddaf,510,,1851808,380
hosin20366853,True,0x75c692dffea2ccaed41291ce39911a0bfe8fde75,1208,0xc8e683e4e416935ab47cb3ea5724e44b31454373,2000929,2057
CZephiros,True,0xddeab6e201fd174cbc23f6683499fe56b430f022,153,,1109264,4459
qwardit,True,0xcaa6965bf6c195041461a57d2a7f52ba85d545e0,371,0x54752701baa657cee21738a04568013bd8a60847,1109945,2244
grekmiha,True,0x36328ab3e01a16d7782d45d98307f75558fe4b43,1006,,2117840,1288
_0xc0de,True,0x4c963931f71e6b471a1e4876ead08871ba8059e2,612,0x455e7c7c186476bf23a2223c71179d1b220ec9fb,2104345,10471
_haoliang_,True,0xa3ccd5671e893d9c8d5c32f3b65d2ce5fcefc6d6,202,0x470ddaf4c4c878b5d10d63db16561f1a038d3ab6,4193653,3034484
soulgecko,False,0x88d7d41e29612b643c445983c988d447d8ca37bc,786,,8740297,195640
archmythen,True,0xdeeabd2753049d8ee0c273507de4ceca3f5eea72,409,0xe7afa4649fdca93b958a19639f3760b6f088d5e2,1738638,3855
Sumu74582522,False,0x0f7f692bceb3255e344647aa0088abf08fd5f311,613,,992982,6895
Dmytro_Vorobiov,True,0xa9ad0947a8b31412111660f87117e973c6a4d140,434,0x8b15256340973d515fd97a9e8e7d727573691993,72136081,1083
Arroowj,True,0xc39394994fdba91b354ac3534630b4dcb7a85977,1983,,10335219,203
DongQLee2,True,0x0f94ee03395655121c4c596044f5de958ef73dc4,458,,1209507,1482
600DsNd65we6UjY,True,0xb557d82c673cba2ce195880133e4e79de52075a8,1334,,3494616,10010
Extrapolate777,True,0xe45c6109251e0d2685480a1f9b2084ae5aceecb6,650,,1627231,1432
jhh2325,False,0x2fc901a1b89ac76da2ae81297a531e3051f718ed,797,0x218d2d6e27e1bcbb0676b4a63efa804ab7f9761e,1973511,1020
hamidk297,True,0xfa4b47d26a8ec5b50c2d118c1d20058e7210512c,1053,0x9fb761779dbfb94db6d3c5ac2752c2939bad0b69,1316204,1599
danilodutra32,True,0xaa8167de65ac8951492fc20b43929a2ba085c8a7,866,0x6f942e44b3291e825597c93383b8cb249c31a7aa,2058805,8282
dima_invest,True,0x7da10ce8d5bd7abf0ee57433366bf1c2abbef02e,561,,927346,438
aXBbqppjnCS2Wyy,False,0x38443de4140c744ce9f4fa72174d65e2a4daa6da,457,,1761157,10499
TimofeySmirnov6,True,0xf9ef59725a50ef89424342acd33b044c512ed7a0,518,,19003160,9018
mikeJD122,True,0x3a66f923e59e969609cd24be579084e363cab0df,686,,5209350,33817
Befurge1,True,0xc56c8464bc08919a9fc86d7337397c5886cb2ecb,1975,,15407160,117
alexismesang,True,0x0ef5cbf621f37e75cfa17ecfb29dc836aa95eba0,413,0xf106d5a0b1fe5fba89477410eeb39efd15b009f8,1518710,2945
0x_b1,False,0x50dd57f50a17d57304e7a4f262da30beb31c2e87,280,0x767f79904eaac672dc7e84e32f629c95532f1e1b,3846824,3140579
ben77197581,True,0x6ceea0fc41387fc6780aa78125ffde3ece0dc103,1263,,19433642,18277
MohaghghiN,True,0x0cc4cfacfbfda1ff5ea003e5a59d17b4c55a5050,1565,,10856212,1111
AlikTHOR,True,0x1488f80717b9aec285f492e27bf08a913035fb55,734,,2654204,925
OlgaMira11,True,0x12fea79122404634a03df7ce08e984e6c128fc21,727,,81234669,4614
078meow,True,0xcaf97e3084263d4baf9850d79fb30faf9742e51b,260,,1365489,2217
AtmacaMetin3,True,0x1b6e45cad3c513d37336cf4eb2a0b740a755f91d,605,,2727288,7610
frank_cryptra,True,0x364f4b2eee8920b6e476dfd4e531b6fd6bfc14cf,1129,,5298708,12563
DianPungky,True,0x92e499e817e2abd93049d633ed75a67825086f1a,1156,,1204940,1355
i_liu25,False,0xc6571c2fb66825f13b7751b1c334810d397618eb,1882,,6606599,19125
ODeb83921049,True,0xb4a957fedc75650d027a83ed992fac013c52dce7,223,,2892916,151268
TomarkJack,True,0x37da949c676fd0c42ad5b0b782f11b6c63520193,427,,4932846,5074
JordiSilvestre2,True,0xf1926978d7805dc9bc266eb9ed5a4b98d4d074c0,657,,1413617,8017
22Kuci,True,0x8c920a74a7d96fdccdab7ea116ab5588aa135921,528,,1858676,3310
keung,False,0x6c8ee01f1f8b62e987b3d18f6f28b22a0ada755f,205,0x83586b97018b9eb6d3bb297fe220b15a51820c6c,5147888,506925
yodzan2,False,0xdc6b5549763d893b01a41acf0d7d77ccb44f3417,136,,2619491,221730
profnft,True,0x00d8d69a862c94b7ec6f8df1ef30599cf31d39f2,2160,0x9cbcd5543974b5279666d220211bb2b328365919,635514,1187
ListenUpItIs,True,0x4779757078ac7b533f8caaa5c4623723b819b123,1157,0x9cbe289dd211435df2671f186e226b7d7ba9888e,2786956,1425
mfireyek,True,0x6fec46201a6f132c81142ac49a001791969520b8,1775,,5677232,6238
opt1m1st_13,True,0x16b9351190c92887b94a6960654421d0187a54ff,543,,1533576,1258
edotoday_eth,True,0x9a6185cdb0d83ed8319b6e01f791b8dfcb9425df,1228,,2807860,1155
driftweb3,True,0x066188948681d38f88441a80e3823dd41155211c,9615,,65816002,771249
Neo01337528,True,0x8896d3bf2bda50f23aac6fba4622c2eaeeb17599,724,,1641279,3171
asimeth2023,True,0x44c8bb2ba5c20aca65bc13381f27f9f88b5ee013,870,,3585873,1068
tatarin_max_228,False,0xac5d3f9f74c77821b624ec0830481e0608974ff7,1265,,2535722,3665
yang_eth,False,0x6d29eb3fe1229dcccafe51a085234a0c76ef6c8e,1966,0x038aaa7f0a92d5782c62ee592b3dd7a30a1931f6,5583515,8984
gelianmari,True,0x2b4b249a60cbcd575bffbee34be05c4dbae1e2bb,995,,6793633,8564
styxson,True,0x7a38b009f9e176f07978c2e75bab2a5b657ca37a,337,0x6a032ddf5d7f2de883c9795c8a36baa27073fe37,2144637,25679
Zygomatikdan,False,0x98c7a0c5ec68939d43f30488e673f59b668967ea,257,,1917790,2250
Valdente_eth,True,0xa4cc4932722afe738abf7afd840537d75523445b,349,,2815945,1704
xrpot,False,0x7aaac7e655e688eacc38a7e4e01400ed70d2795a,452,,685618,5381
DAdvisoor,True,0xac844ada82f3d0241533d827ebf84deb89617792,48,0xb82cc388adb575b6560e31cd70bb14955b8111dc,1273111,19556
arash_ijkxyz,True,0xe46dff55f5fd43a0963b1c9408f3ac93ff1bc227,461,,1955278,4448
meneerriley,True,0xb34c68153eb4991a57c3c9c9137071dd0387759e,1163,,5619356,4605
vfat0,False,0x87616fa850c87a78f307878f32d808dad8f4d401,10506,0x7ad6588a4e253c070e33b4c88ec676d1c6d27e16,141471607,347685
Bulgakoff_K,False,0x8664cedfbfd62980211acefcd4919c72237d801b,956,,2368937,3652
TheAbroad,True,0xebd35c595e608cd85f195576b8cc3bff8f80c11c,449,,2013071,6104
probably_joe,True,0xc3584fa77ecb5bfadf245823f5aa732b3e6ced9f,47,,1348071,73413
mauryis,True,0x1b75c6dc2c2cff9e6eaf54c5d72b3447740f1e76,30,,1072004,316260
shonic08brd,True,0xa6ae8542f21108a84eb065352d721e12d513f649,1346,,39269964,200
Zangetsu1_,True,0x25d0423d8b4b57c7d39462d2ae3990ac6266397c,1388,,16938357,680
john23886,True,0xddfba3aad19d3f466472b5ea8a5b0f77e59b4fc6,146,,853918,25860
blogstruck,True,0x42b2e881b164e4c283fb7b7e15b35cd256209133,486,,4061236,37083
sashashoiko,True,0x2d9229cd8cc7e0e069bc4dc3a26f6dd91c2565be,383,,10062775,1625
codemach1ne,True,0xe14cb7014c9203289c9b9e6b559266b94a07f6c2,478,,31391239,6395
hello8888vsg,True,0xd567b8567c72c44f320c9d3f1ba4858a4fa97697,194,,645591,1278
CryptoMav0x6E8,False,0x6e868846b2182235c16fd122fcd44739e55a58e4,838,,6625198,279679
d3cay_w3w,True,0x64259a883a0bc41cea5ca75e40c0d231424ec22d,1122,0xbf08960335519070fd3b8bd4408cd29e6e312411,5844756,1149
Tfischer_12,True,0xecaf401a100ff4e390075a5d45f7db021f90a0e4,223,,1391072,7659
coinortoken,True,0x585a003aa0b446c0f9bad7b3b0bac5a809988588,764,,5622869,4576
archivepro,True,0x2b53b0559b66a1fe7be449be1ef49184aed55318,364,,3692879,1203
Leoswarm1,True,0x70d379c87ca0f5fa75fd108aa9d41ab6700ef126,456,,11725791,10860
2ayyyy,True,0x06789f6b751b076ac404bc82c2bd0336fd1a123a,549,,1520597,4723
xfcrypto,True,0x7426335c50d21a34bf119b4bae0e1d2dd111647a,553,,1586536,2140
polootroop1,True,0x4981d1b985d0b486009da7e5a01035602f57a334,1312,,5655900,28919
CorpyCrypto,True,0xc797714de7d5d2a0fd328a64b30e1b9f4472731f,2173,,16964053,1116
xuxobibo,False,0x014420d7b3ab201a82a50fc55e331fb2738dbd11,473,,2273559,1049
arsenshf,True,0x3b2fd3c41d832d2eafc417bb66a5fb8daff1617b,1033,,1717163,29236
adelemhi,False,0x971307ebeed0c84a1fe5eb8005bf654bc552e33d,956,0x9d17dc498dbfeae57a62f47d4a1d8f4f19d43db0,1845335,4417
siplsipl3,False,0xac029a845c9c21bf2010b3769d0661fe7a696cf4,183,,19712621,1626
Defi_Maestro,False,0xd14a28667d263efda2033ceb3b466399723c9c9c,3041,0x149e175b8ff95d8993eed4faebd6aab7c897941c,62528899,2917
tanbir2000,True,0xdb69c856f1b833177268307693144c68ed3e6164,518,,2804579,1637
kimdamyuneth,True,0xbb257625458a12374daf2ad0c91d5a215732f206,9129,,72883327,391707
rodan_daoarmy,True,0x8d481efd1813764e3cdd41600d16fedcbd39047a,696,,3645405,61149
taku_nyanco,True,0xef7f6232bc67d7adaa6f2f3a8673d1c766ec91a9,407,0x17c404fce10d8d8572eb0a8c3b33ffa0bfd7189f,2739703,4359
razym_off,True,0xfd625745351477ddbaa68e8d1869e3b3b92e10ec,2537,,2815345,600
defi_alien,True,0x6f2677bd2336d4141ae35d91843f1f361b1682cc,306,,1420071,19210
itumongenki,False,0x8cb71cec028ccb62a88a89364884d1df5c0c5273,209,0xe312f6b706ee55ad957bf06e13da0f5aa6b0b443,1043244,3683
nautzero,True,0x7fd8b066f865ddd4f38a4926eadbcbbf9d25464c,642,,2888738,5803
0xFred1,False,0xf7e326856009c52e9842b135723194eeba53a5df,78,,2249593,1278773
Oleksii51003670,True,0x6db303b564a05e9c17fbb22c7108561e08c3ae7b,580,,2797868,2614
bp__,True,0x1341df844780b66af4ccc98ae0f34be87eabe1d5,103,0x1f1db1713549e875e95cff2a3e355d81bccc256f,665164,18082
danjichong,True,0xb5a1211360e8288e41f5ee4c544933ee615bf26e,588,0xe36123c6565329df68866ffc5a2357a781dd6203,2682349,3297
stakerr320,True,0x47a76df5f20b7116a33b9715bc73092fb3690b36,300,,1785346,12230
trysomecorn,True,0x49379efae465c8d420357142477c09386cc1e764,144,0x078f31c09941607f0af3f9e35949cb598c01c425,21584504,43637
Gindul11,True,0x8335459a89a17ed8ed128aa98f9af86802dacf30,204,,1088323,8706
Thegone69M,True,0x44d6b319c256c03c0914eb399acca4c1e6788289,589,,32717339,60773
raypiasopea,True,0x88e137bd3c1d8e94162b48034b221335f7ace9ff,611,0xbbaa4d16144169a3ec248a7d340eec85bf37004f,1460922,6680
8596kkjab,True,0xfa92a0cb2955d79b038837b4ed8547d6f8d31ae5,298,0x570399ee8b3474390d8d169e47a6dbf6c98947c4,757913,749
Blazingchimpz,True,0x86222e0dc1d1a9813b377fc4ee56d742128819c2,304,,1083619,10776
P3YMAN72,False,0x5d2dddb81e885f298527224a7163b90d5bdb3d1a,814,,1529278,2511
osegstan,True,0x2f061aa574882c84649230b475a44d35795cc018,341,0x6e2b1c152c60b1e789f671f6f26e840d7456b84f,2568268,1812
AkZkDBrtkadbr,False,0xd2d6e38a2be284f06ad102e524178fecc233cb35,515,,1582540,2918
guitarist1,True,0x8643c722031a05fcbb12212804693b81ccf5a4d5,188,0x90a8e9f19643db302b3e77ffee3c7b45088fcddb,1000530,11149
mbrvyek,True,0x7d4e3fdb4e4748bfe34c98e9e1a90a75f116bf57,1485,0xfff1a08c232f70642e3eb98cd39d464af61fee7b,4228222,1203
___ND___,True,0xce4e346d7e0b0c93a832ddab0d6b9753aae75219,1533,0x6065631c660197bc58e4ca9cafad802f73afffcc,4294001,1085
XandrKom,True,0xe3fcc1c4e8e3d38e364dca5bc5d3679ea52d17d2,742,,4817858,160
tyelf_eth,True,0xa1ded99613ff4cb3a5450d3ebcaaed31cf42e8bb,461,0x05f142be028ff78e01cefb9a79aab7349721e316,39758876,2115
leonid_nikora,True,0xe2d18861c892f4efbab6b2749e2ede16af458a94,1409,0x4addd5b0da4c3f3548886872e30ae235284a350f,22288756,1269
cryptowolf07,True,0x6c31212a23040998e1d1c157ace3982abdbe3154,924,,2640842,973
FRANCOCAR_CR,True,0x038edc61b0913f5a1fb5d4c9c05ec278b595e652,394,,3669869,5732
Kristin47966608,True,0xd60b757cd3c4cf59f7c90128a5760f60e599ca7c,265,,70823664,1557
cashierx1,True,0x250302de8c3a0443dffc8e25f5d5d276ff5cde7f,571,,74622659,7220
Nurashikin60,True,0xfe710ed01458ad9f5d97e514a3fcef0156bc1b96,1867,,606682,243
BudCadman,True,0x62b417e3852913f4964b1ea2b7b191871a91ccab,4179,,10476941,4916
